"Model","Predictors","ELPD Difference (SE)","ELPD (SE)","ELPD Difference Best (SE)","Effective parameters (SE)","LOO - ELPD Difference (SE)","LOO - ELPD (SE)","LOO - Effective parameters (SE)","LOO - Max. Pareto k","MAE (Scaled) - Train","MAE (Scaled) - Test","% within 50% PI (train)","% within 50% PI (test)","% within 95% PI (train)","% within 95% PI (test)"
"f1","","-186.24 (17.05)","-1017.32 (29.41)","-186.24 (17.05)","5.94 (0.59)","-196.49 (21.07)","-1017.12 (29.35)","5.15 (0.48)",0.122376165983891,"0.58 (0.7)","0.58 (0.7)",47.5,48,94.9,94.8
"f2.1","DOSE","-114.04 (11.7)","-945.12 (32.24)","-114.04 (11.7)","32.06 (3.93)","-111.91 (15.27)","-932.54 (30.49)","21.58 (2.07)",0.52519716739862,"0.6 (0.65)","0.6 (0.65)",46.9,46.6,95.9,95.6
"f2.2","ST","-98.38 (10.49)","-929.46 (32.38)","-98.38 (10.49)","30.98 (4.25)","-95.87 (13.7)","-916.5 (30.74)","20.99 (2.41)",0.490290472874855,"0.56 (0.63)","0.56 (0.63)",49.9,50.3,96.5,96
"f2.3","SP","-109.47 (11.8)","-940.55 (32.74)","-109.47 (11.8)","38.27 (5.85)","-106.94 (15.43)","-927.56 (31.08)","25.5 (2.74)",0.597455815456592,"0.56 (0.61)","0.57 (0.62)",50.7,49.4,96.2,95.8
"f2.4","AGE","-107.02 (12.6)","-938.1 (32.65)","-107.02 (12.6)","34.24 (5.22)","-104.67 (16.34)","-925.29 (30.91)","22.59 (2.6)",0.6272201236842,"0.57 (0.62)","0.57 (0.64)",50.7,49.6,96.9,96.5
"f2.5","SEX","-120.9 (12.58)","-951.98 (32.98)","-120.9 (12.58)","46.53 (8.68)","-129.78 (17.11)","-950.41 (32.6)","32.55 (4.59)",0.602618767837372,"0.56 (0.62)","0.58 (0.64)",50.6,48.5,96.2,95.8
"f2.6","DPI","-82.23 (9.7)","-913.31 (31.99)","-82.23 (9.7)","32.71 (4.09)","-79.37 (12.66)","-900 (30.31)","21.98 (2.34)",0.502118766112433,"0.56 (0.65)","0.55 (0.64)",47.9,47.5,96.1,96
"f2.7","TG","-94.6 (11.02)","-925.68 (33.96)","-94.6 (11.02)","38.76 (6.9)","-93.29 (14.53)","-913.91 (32.33)","25.05 (3.14)",0.511323157451688,"0.55 (0.61)","0.57 (0.63)",50.7,50.4,97.8,97.7
"f3.1","DPI + DOSE","-83.66 (9.65)","-914.74 (32.05)","-83.66 (9.65)","36.79 (4.74)","-81.44 (12.63)","-902.06 (30.39)","24.95 (2.57)",0.605819283693012,"0.56 (0.65)","0.56 (0.65)",48,48.5,96.4,96
"f3.2","DPI + ST","-82.78 (9.59)","-913.86 (32.07)","-82.78 (9.59)","34.85 (4.92)","-80.27 (12.56)","-900.9 (30.46)","23.17 (2.63)",0.615771152328685,"0.55 (0.65)","0.55 (0.65)",47.6,47.8,96.1,96
"f3.3","DPI + SP","-78.12 (9.53)","-909.2 (32.18)","-78.12 (9.53)","35.98 (4.42)","-76.32 (12.54)","-896.95 (30.58)","24.8 (2.56)",0.523702306645423,"0.55 (0.65)","0.55 (0.65)",48.1,48.5,96,95.8
"f3.4","DPI + AGE","-74.78 (10.35)","-905.86 (32.11)","-74.78 (10.35)","36.83 (4.87)","-72.99 (13.5)","-893.62 (30.54)","24.94 (2.7)",0.692762856695125,"0.54 (0.64)","0.54 (0.65)",49.6,48.9,96.3,96.2
"f3.5","DPI + SEX","-87.71 (10.23)","-918.79 (32.22)","-87.71 (10.23)","42.4 (5.1)","-91.38 (13.37)","-912 (30.95)","29.74 (2.95)",0.626337420036755,"0.54 (0.64)","0.57 (0.67)",48.9,46.6,95.9,95.5
"f3.6","DPI + TG","-48.36 (8.3)","-879.44 (34.01)","-48.36 (8.3)","40.02 (7.24)","-46.14 (10.88)","-866.77 (32.38)","26.54 (3.7)",0.561637260955179,"0.51 (0.61)","0.52 (0.6)",50.8,51,97.7,97.7
"f4.1","DPI + TG + DOSE","-40.6 (8.79)","-871.68 (35.31)","-40.6 (8.79)","44.9 (7.71)","-38.35 (11.32)","-858.98 (33.91)","29.19 (3.69)",0.621198727162686,"0.49 (0.54)","0.49 (0.53)",52.1,52.2,96.6,96.7
"f4.2","DPI + TG + ST","-44.28 (7.39)","-875.36 (34.38)","-44.28 (7.39)","41.06 (7.36)","-42.03 (9.66)","-862.65 (32.86)","26.63 (3.32)",0.528920161039699,"0.51 (0.6)","0.51 (0.59)",51.3,51.7,97.7,97.6
"f4.3","DPI + TG + SP","-2.82 (3.66)","-833.9 (34.41)","-2.82 (3.66)","43.27 (7.68)","-1.33 (4.81)","-821.95 (33.02)","29.06 (4.15)",0.638447885273195,"0.46 (0.57)","0.47 (0.57)",53.1,52.7,96.5,97
"f4.4","DPI + TG + AGE","-36.03 (7.45)","-867.11 (33.05)","-36.03 (7.45)","48.98 (7.55)","-34.98 (9.47)","-855.6 (31.27)","32.13 (3.57)",0.684593443658948,"0.48 (0.56)","0.49 (0.59)",53.8,52.9,97,96.7
"f4.5","DPI + TG + SEX","-52.59 (8.54)","-883.67 (34.03)","-52.59 (8.54)","45.59 (7.57)","-53.68 (11.25)","-874.3 (32.66)","30.02 (3.38)",0.612424745499494,"0.5 (0.6)","0.52 (0.61)",51.6,50.8,97.6,97.4
"f5.1","DPI + TG + SP + DOSE","0 (0)","-831.08 (34.5)","0 (0)","49.05 (8.35)","0 (0)","-820.63 (33.24)","32.99 (4.37)",0.642354337083596,"0.43 (0.53)","0.44 (0.54)",56,55,97,96.9
"f5.2","DPI + TG + SP + ST","-3.41 (3.65)","-834.49 (34.35)","-3.41 (3.65)","45.02 (7.86)","-1.83 (4.82)","-822.45 (32.99)","29.14 (3.75)",0.573463337952386,"0.46 (0.57)","0.48 (0.58)",52.8,52.7,96.4,96.7
"f5.3","DPI + TG + SP + AGE","-4.88 (3.34)","-835.96 (34.24)","-4.88 (3.34)","49.14 (8.56)","-4.13 (4.51)","-824.76 (32.79)","31.25 (3.85)",0.539970833660576,"0.46 (0.57)","0.48 (0.58)",53.5,53.1,96.6,96.7
"f5.4","DPI + TG + SP + SEX","-4.64 (3.6)","-835.72 (34.36)","-4.64 (3.6)","49.87 (8.39)","-7.22 (4.65)","-827.85 (33.13)","34.31 (4.56)",0.673880578671525,"0.45 (0.57)","0.48 (0.59)",53.4,52.4,96.5,96
"f6.1","DPI + TG + SP + DOSE + ST","-1.11 (0.32)","-832.19 (34.53)","-1.11 (0.32)","51.3 (8.7)","-0.68 (0.31)","-821.3 (33.14)","33.65 (4.3)",0.676233479336709,"0.43 (0.53)","0.44 (0.54)",56,54.5,97,96.7
"f6.2","DPI + TG + SP + DOSE + AGE","-1.51 (1.17)","-832.59 (34.4)","-1.51 (1.17)","52.93 (8.92)","-1.01 (1.9)","-821.64 (32.86)","34.3 (4.32)",0.627164064016241,"0.43 (0.53)","0.43 (0.53)",56.5,55.3,97,96.7
"f6.3","DPI + TG + SP + DOSE + SEX","-1.5 (0.69)","-832.58 (34.48)","-1.5 (0.69)","55.9 (9.21)","-5.76 (0.85)","-826.39 (33.37)","37.47 (4.35)",0.59806143951004,"0.43 (0.53)","0.44 (0.54)",56.6,54.5,96.9,96.7
"f7.1","DPI + TG + SP + DOSE + ST + AGE","-2.64 (1.22)","-833.72 (34.4)","-2.64 (1.22)","55.06 (9.25)","-2.56 (1.85)","-823.19 (33.01)","35.42 (4.21)",0.677997127576301,"0.43 (0.52)","0.43 (0.53)",56.4,55.1,97,96.7
"f7.2","DPI + TG + SP + DOSE + ST + SEX","-2.72 (0.76)","-833.8 (34.54)","-2.72 (0.76)","57.95 (9.45)","-6.76 (0.88)","-827.39 (33.4)","38.15 (4.45)",0.683422364501957,"0.43 (0.53)","0.44 (0.54)",56.4,54.1,96.9,96.9
"f8.1","DPI + TG + SP + DOSE + ST + AGE + SEX","-4.44 (2.39)","-835.52 (34.2)","-4.44 (2.39)","62.97 (10.04)","-9.76 (4.12)","-830.38 (33.19)","39.26 (4.32)",0.573297799674318,"0.43 (0.53)","0.45 (0.56)",57.2,54.5,96.9,96.7
